record_type,name,title,company,title_secondary,company_secondary,sponsor_tier,sponsor_tier_label,is_virtual_speaker,twitter,website,linkedin,profile_url
Sponsor,Anchorage Digital,,,,,5 Block,Platinum (5 Block),,,,,https://consensus.coindesk.com/agenda/sponsor/-anchorage-digital
Sponsor,GoMining,,,,,5 Block,Platinum (5 Block),,,,,https://consensus.coindesk.com/agenda/sponsor/-gomining
Sponsor,Grayscale,,,,,5 Block,Platinum (5 Block),,,,,https://consensus.coindesk.com/agenda/sponsor/-grayscale
Sponsor,OKX,,,,,5 Block,Platinum (5 Block),,,,,https://consensus.coindesk.com/agenda/sponsor/-okx-chain
Sponsor,Solana,,,,,5 Block,Platinum (5 Block),,,,,https://consensus.coindesk.com/agenda/sponsor/-solana
Sponsor,Acronym Foundation,,,,,4 Block,Gold (4 Block),,,,,https://consensus.coindesk.com/agenda/sponsor/-acronym-foundation
Sponsor,Bullish,,,,,4 Block,Gold (4 Block),,,,,https://consensus.coindesk.com/agenda/sponsor/-bullish
Sponsor,Alvarez & Marsal | Crypto,,,,,3 Block,Silver (3 Block),,,,,https://consensus.coindesk.com/agenda/sponsor/-alvarez-marsal-crypto
Sponsor,AULT Blockchain,,,,,3 Block,Silver (3 Block),,,,,https://consensus.coindesk.com/agenda/sponsor/-ault-blockchain
Sponsor,"Bridge, a Stripe Company",,,,,3 Block,Silver (3 Block),,,,,https://consensus.coindesk.com/agenda/sponsor/-bridge-a-stripe-company
Sponsor,Canton,,,,,3 Block,Silver (3 Block),,,,,https://consensus.coindesk.com/agenda/sponsor/-canton
Sponsor,ChangeNOW,,,,,3 Block,Silver (3 Block),,,,,https://consensus.coindesk.com/agenda/sponsor/-changenow
Sponsor,Coinbase,,,,,3 Block,Silver (3 Block),,,,,https://consensus.coindesk.com/agenda/sponsor/-coinbase
Sponsor,CoinDesk Data,,,,,3 Block,Silver (3 Block),,,,,https://consensus.coindesk.com/agenda/sponsor/-coindesk-data
